1类置信率,2类置信率,3类置信率,预测分类,实际分类,预测正确
2.90E-08,1,2.00E-08,2,2,1
9.61E-10,1,1.44E-09,2,2,1
2.80E-11,1,1.29E-10,2,2,1
3.44E-12,1,1.14E-10,2,2,1
6.26E-12,1,2.80E-12,2,2,1
6.72E-12,1,4.32E-11,2,2,1
1.14E-11,1,1.23E-10,2,2,1
1.90E-12,1,2.80E-11,2,2,1
1.36E-10,1,4.99E-10,2,2,1
1.29E-07,0.999999881,8.02E-09,2,2,1
0.998027146,0.001905209,6.76E-05,1,1,1
0.99998498,1.40E-05,9.36E-07,1,1,1
1,1.82E-10,1.42E-10,1,1,1
1,4.27E-10,4.17E-11,1,1,1
0.894533157,0.105435491,3.13E-05,1,1,1
0.985174239,0.014824293,1.37E-06,1,1,1
0.000304919,0.999694943,9.28E-08,2,2,1
8.39E-09,1,3.31E-10,2,2,1
5.18E-10,1,7.47E-11,2,2,1
1.81E-08,1,9.75E-10,2,2,1
3.11E-07,0.999999523,6.55E-08,2,2,1
1.34E-09,1,1.87E-09,2,2,1
3.51E-12,1,6.06E-12,2,2,1
1.36E-12,1,3.80E-11,2,2,1
2.63E-10,1,6.77E-10,2,2,1
3.24E-10,1,1.16E-09,2,2,1
3.51E-12,1,7.75E-11,2,2,1
1.30E-11,1,6.67E-11,2,2,1
7.38E-13,1,1.59E-11,2,2,1
1.32E-10,1,6.70E-10,2,2,1
2.34E-07,0.999999762,5.42E-08,2,2,1
1.08E-11,1,1.37E-10,2,2,1
4.43E-11,1,2.39E-10,2,2,1
1.42E-09,1,1.44E-09,2,2,1
6.09E-10,1,1.07E-10,2,2,1
2.72E-11,1,1.60E-10,2,2,1
7.87E-10,1,1.33E-09,2,2,1
5.92E-10,1,6.35E-10,2,2,1
2.90E-09,1,1.30E-09,2,2,1
1.91E-10,1,1.88E-10,2,2,1
4.39E-08,1,3.07E-08,2,2,1
8.16E-10,1,2.41E-09,2,2,1
4.08E-10,1,2.40E-09,2,2,1
3.50E-13,1,2.46E-11,2,2,1
1.85E-11,1,5.55E-11,2,2,1
9.80E-14,1,3.15E-12,2,2,1
3.36E-12,1,6.01E-11,2,2,1
5.43E-12,1,9.99E-11,2,2,1
8.41E-10,1,2.94E-09,2,2,1
8.33E-09,1,1.27E-09,2,2,1
0.999985456,1.38E-05,7.52E-07,1,1,1
0.999999762,1.92E-07,1.61E-08,1,1,1
1,5.26E-11,1.71E-11,1,1,1
1,1.35E-11,3.96E-12,1,1,1
1,2.86E-09,1.50E-10,1,1,1
0.685621679,0.314320564,5.78E-05,1,1,1
0.962902248,0.037095372,2.37E-06,1,1,1
8.03E-07,0.999999046,7.46E-08,2,2,1
6.95E-08,0.999999881,4.30E-09,2,2,1
1.96E-08,1,1.04E-09,2,2,1
3.07E-09,1,1.08E-09,2,2,1
4.11E-08,1,2.02E-08,2,2,1
1.37E-10,1,6.62E-11,2,2,1
3.55E-12,1,6.06E-12,2,2,1
1.71E-12,1,1.62E-11,2,2,1
3.90E-14,1,1.90E-12,2,2,1
5.25E-11,1,3.29E-10,2,2,1
6.24E-11,1,2.06E-10,2,2,1
2.37E-12,1,2.80E-11,2,2,1
2.71E-13,1,5.15E-12,2,2,1
5.36E-14,1,1.32E-12,2,2,1
1.19E-10,1,4.99E-10,2,2,1
1.12E-06,0.999998689,2.30E-07,2,2,1
6.36E-12,1,1.69E-10,2,2,1
1.75E-12,1,4.41E-11,2,2,1
2.64E-13,1,3.09E-12,2,2,1
1.27E-11,1,3.29E-11,2,2,1
9.25E-12,1,4.13E-11,2,2,1
2.12E-08,1,2.17E-08,2,2,1
4.60E-11,1,1.76E-10,2,2,1
2.17E-10,1,2.89E-10,2,2,1
1.38E-07,0.999999762,6.17E-08,2,2,1
1.24E-11,1,1.69E-10,2,2,1
8.13E-13,1,5.30E-11,2,2,1
5.09E-12,1,2.79E-10,2,2,1
1.84E-14,1,6.27E-13,2,2,1
4.09E-16,1,4.52E-13,2,2,1
1.37E-14,1,2.26E-12,2,2,1
3.37E-14,1,2.81E-12,2,2,1
1.95E-11,1,6.20E-11,2,2,1
5.54E-08,1,5.48E-09,2,2,1
7.11E-10,1,9.34E-10,2,2,1
2.14E-11,1,2.46E-10,2,2,1
1.51E-09,1,8.71E-09,2,2,1
9.22E-10,1,1.05E-10,2,2,1
2.09E-10,1,5.76E-10,2,2,1
2.53E-11,1,9.90E-11,2,2,1
1.84E-09,1,2.05E-09,2,2,1
